Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
1882,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),7255,7255,"RM 178,000.00","RM 178,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1883,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),7254,7254,"RM 178,000.00","RM 178,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1884,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),7253,7253,"RM 248,000.00","RM 248,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1885,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6969 (PT 4259),6969 (PT 4259),"RM 375,000.00","RM 375,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1886,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6970 (PT 4260),6970 (PT 4260),"RM 240,000.00","RM 240,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1887,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6971 (PT 4261),6971 (PT 4261),"RM 222,000.00","RM 222,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1888,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6972 (PT 4262),6972 (PT 4262),"RM 198,000.00","RM 198,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1889,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6973 (PT 4263),6973 (PT 4263),"RM 198,000.00","RM 198,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1890,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6974 (PT4264,6974 (PT4264,"RM 198,000.00","RM 198,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
1891,6259-2 TAMAN SAUJANA INDAH,6259 SINMAH DEVELOPMENT SDN. BHD.,6259-2/2328/2006(10),6975 (PT4265),6975 (PT4265),"RM 198,000.00","RM 198,000.00",Telah Dijual,Tidak,2025-12-21,2025-12-21 03:02:15
