Date,Developer,Project,Total_Units,Sold_Units,Unsold_Units,Take_Up_Rate
2025-12-20,Teladan,7305-11 TAMAN BERTAM SETIA,34,34,0,100.0
2025-12-20,Teladan,7305-12 TAMAN DESA IDAMAN,42,42,0,100.0
2025-12-20,Teladan,7305-13 TAMAN BERTAM SETIA,79,79,0,100.0
2025-12-20,Teladan,7305-14 TAMAN SERI RAMBAI 1,249,249,0,100.0
2025-12-20,Teladan,7305-15 TAMAN DESA IDAMAN,249,249,0,100.0
2025-12-20,Teladan,7305-16 TAMAN BERTAM SETIA,249,249,0,100.0
2025-12-20,Teladan,7305-17 TAMAN BELIMBING SETIA,50,50,0,100.0
2025-12-20,Teladan,7305-18 TAMAN SAUJANA SEKSYEN 4,50,50,0,100.0
2025-12-20,Teladan,7305-19 TAMAN KRUBONG INDAH,108,108,0,100.0
2025-12-20,Teladan,7305-20 TAMAN BELIMBING SETIA,197,197,0,100.0
2025-12-20,Teladan,7305-21 TAMAN DESA IDAMAN,168,168,0,100.0
2025-12-20,Teladan,7305-22 TAMAN SERI TUAH PERMAI,58,58,0,100.0
2025-12-20,Teladan,7305-23 TAMAN BELIMBING SETIA,23,23,0,100.0
2025-12-20,Teladan,7305-24 TAMAN BERTAM SETIA,23,23,0,100.0
2025-12-20,Teladan,7305-25 TAMAN DESA BERTAM,764,764,0,100.0
2025-12-20,Teladan,7305-26 TAMAN BERTAM SETIA,77,77,0,100.0
2025-12-20,Teladan,7305-27 TAMAN DESA BERTAM,389,387,2,99.5
2025-12-20,Teladan,7305-28 TAMAN DESA BERTAM,486,474,12,97.5
2025-12-20,Teladan,7305-29 TAMAN BERTAM HEIGHTS,276,265,11,96.0
2025-12-20,Teladan,7305-30 TAMAN DESA BERTAM,273,225,48,82.4
2025-12-20,Teladan,7305-31 TAMAN IMPIANA KESANG,433,424,9,97.9
2025-12-20,Teladan,7305-32 TAMAN BERTAM HEIGHTS,442,442,0,100.0
2025-12-20,Teladan,7305-33 TAMAN IMPIANA KESANG,224,224,0,100.0
2025-12-20,Teladan,7305-34 TAMAN BERTAM HEIGHTS,352,265,87,75.3
2025-12-20,Teladan,7305-35 RUMAH BANDAR TAMAN BERTAM HEIGHTS,211,183,28,86.7
2025-12-20,Teladan,7305-36 TAMAN IMPIANA KESANG,163,113,50,69.3
2025-12-20,Teladan,7305-37 TAMAN IMPIANA KESANG,129,104,25,80.6
2025-12-20,Teladan,7305-38 TAMAN BERTAM HEIGHTS,419,394,25,94.0
2025-12-20,Teladan,7305-39 TAMAN DESA BERTAM,285,0,285,0.0
2025-12-20,Teladan,7305-6 TAMAN BUKIT CHENG,34,34,0,100.0
2025-12-20,Teladan,7305-8 TAMAN SERI BAYAN,34,34,0,100.0
2025-12-20,Teladan,7305-9 TAMAN CHENG SETIA,34,34,0,100.0
2025-12-20,Teobro,30150-1 TAMAN BUKIT NIBONG DAMAI,31,22,9,71.0
2025-12-20,Teobro,30150-2 TAMAN BUKIT NIBONG DAMAI,56,8,48,14.3
2025-12-20,Teobro,7855-10 TAMAN SAYANG SELASIH,33,33,0,100.0
2025-12-20,Teobro,7855-11 TAMAN MERBOK,33,33,0,100.0
2025-12-20,Teobro,7855-12 TAMAN PUNCAK MALIM 2,265,249,16,94.0
2025-12-20,Teobro,7855-13 TAMAN SAYANG SELASIH,143,143,0,100.0
2025-12-20,Teobro,7855-14 TAMAN SAUJANA PERMAI,143,143,0,100.0
2025-12-20,Teobro,7855-15 TAMAN MERBOK,143,143,0,100.0
2025-12-20,Teobro,7855-16 TAMAN PUNCAK MALIM 3,143,143,0,100.0
2025-12-20,Teobro,7855-17 TAMAN MERBOK 3,245,245,0,100.0
2025-12-20,Teobro,7855-18 BANDAR BARU ALOR GAJAH,245,245,0,100.0
2025-12-20,Teobro,7855-19 TEOBROS DEVELOPMENT SDN BHD,56,56,0,100.0
2025-12-20,Teobro,7855-20 TAMAN MERBOK,22,19,3,86.4
2025-12-20,Teobro,7855-21 TAMAN TEHEL IMPIAN,41,22,19,53.7
2025-12-20,Teobro,7855-7 TAMAN SEMABOK PERMAI,33,33,0,100.0
2025-12-20,Teobro,7855-9 TAMAN PUNCAK MALIM,33,33,0,100.0
