Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
4258,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16761,PT. 16761,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4259,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16762,PT. 16762,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4260,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16764,PT. 16764,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4261,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16765,PT. 16765,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4262,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16766,PT. 16766,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4263,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16767,PT. 16767,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4264,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16769,PT. 16769,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4265,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16771,PT. 16771,"RM 418,800.00","RM 418,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4266,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16772,PT. 16772,"RM 418,800.00","RM 418,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4267,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16773,PT. 16773,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4268,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16774,PT. 16774,"RM 398,800.00","RM 398,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4269,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16778,PT. 16778,"RM 427,000.00","RM 427,000.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4270,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16780,PT. 16780,"RM 536,100.00","RM 536,100.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4271,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16785,PT. 16785,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4272,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16794,PT. 16794,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4273,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16795,PT. 16795,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4274,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16796,PT. 16796,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4275,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16802,PT. 16802,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4276,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16803,PT. 16803,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4277,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16805,PT. 16805,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4278,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16807,PT. 16807,"RM 506,650.00","RM 506,650.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4279,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16809,PT. 16809,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4280,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16810,PT. 16810,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4281,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16812,PT. 16812,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4282,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16813,PT. 16813,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4283,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16814,PT. 16814,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4284,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16817,PT. 16817,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4285,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16820,PT. 16820,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4286,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16825,PT. 16825,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4287,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16828,PT. 16828,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4288,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16829,PT. 16829,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4289,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16834,PT. 16834,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4290,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16835,PT. 16835,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4291,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16837,PT. 16837,"RM 554,490.00","RM 554,490.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4292,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16842,PT. 16842,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4293,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16843,PT. 16843,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4294,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16844,PT. 16844,"RM 428,800.00","RM 428,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
4295,7305-25 TAMAN DESA BERTAM,7305 TELADAN SETIA SDN. BHD.,7305-25/06-2021/02282(P),PT. 16851,PT. 16851,"RM 448,800.00","RM 448,800.00",Telah Dijual,Tidak,2025-12-20,2025-12-20 10:46:36
