Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
6312,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP172,DP172,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6313,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP173,DP173,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6314,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP174,DP174,"RM 124,400.00","RM 124,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6315,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP176,DP176,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6316,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP177,DP177,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6317,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP178,DP178,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6318,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP179,DP179,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6319,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP18,DP18,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6320,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP180,DP180,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6321,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP181,DP181,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6322,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP182,DP182,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6323,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP183,DP183,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6324,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP184,DP184,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6325,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP185,DP185,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6326,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP186,DP186,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6327,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP187,DP187,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6328,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP188,DP188,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6329,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP189,DP189,"RM 104,400.00","RM 104,400.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6330,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP19,DP19,"RM 104,400.00","RM 104,400.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
6331,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP190,DP190,"RM 180,000.00","RM 180,000.00",Telah Dijual,Ya,2025-12-25,2025-12-25 12:14:11
6332,6575-24 TAMAN BUKIT TAMBUN PERDANA 2,6575 SCIENTEX HEIGHTS SDN. BHD.,6575-24/06-2023/0071(A)-(L),DP191,DP191,"RM 210,700.00","RM 210,700.00",Telah Dijual,Tidak,2025-12-25,2025-12-25 12:14:11
