Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
207,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37836,PT 5659,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
208,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37837,PT 5660,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
209,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37838,PT 5661,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
210,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37839,PT 5662,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
211,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37840,PT 5663,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
212,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37841,PT 5664,"RM 409,800.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
213,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37842,PT 5665,"RM 409,800.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
214,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37843,PT 5666,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
215,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37844,PT 5667,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
216,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37845,PT 5668,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
217,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37846,PT 5669,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
218,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37847,PT 5670,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
219,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37848,PT 5671,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
220,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37849,PT 5672,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
221,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37850,PT 5673,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
222,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37851,PT 5674,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
223,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37852,PT 5675,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
224,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37853,PT 5676,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
225,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37854,PT 5677,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
226,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37855,PT 5678,"RM 359,000.00","RM 359,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
227,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37856,PT 5679,"RM 359,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
228,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37857,PT 5680,"RM 494,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
229,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37775,PT 5598,"RM 518,100.00","RM 503,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
230,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37774,PT 5597,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
231,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37773,PT 5596,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
232,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37772,PT 5595,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
233,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37771,PT 5594,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
234,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37770,PT 5593,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
235,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37769,PT 5592,"RM 389,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
236,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37768,PT 5591,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
237,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37767,PT 5590,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
238,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37766,PT 5589,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
239,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37765,PT 5588,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
240,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37764,PT 5587,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
241,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37763,PT 5586,"RM 389,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
242,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37762,PT 5585,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
243,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37761,PT 5584,"RM 389,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
244,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37760,PT 5583,"RM 441,600.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
245,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37759,PT 5582,"RM 441,600.00","RM 427,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
246,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37758,PT 5581,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
247,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37757,PT 5580,"RM 389,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
248,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37756,PT 5579,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
249,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37755,PT 5578,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
250,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37754,PT 5577,"RM 389,000.00","RM 380,000.00",Telah Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
251,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37753,PT 5576,"RM 389,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
252,31199-1 TAMAN BANDAR BAHARU KIJAL,31199 MEGATECH PROPERTIES SDN. BHD.,31199-1/12-2027/1016(N)-(L),HSD 37752,PT 5575,"RM 389,000.00",-,Belum Dijual,Tidak,2025-12-28,2025-12-28 05:03:30
