Project_Code,Project_Name,Kod Projek & Nama Projek,Bil,No PT/Lot/Plot,No Unit,Harga Jualan (RM),Harga SPJB (RM),Status Jualan,Kuota Bumi,Scraped_Date,Scraped_Timestamp
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,11,HS(D)90534,PT9930,"RM 551,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,12,HS(D)90535,PT9931,"RM 548,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,13,HS(D)90536,PT9932,"RM 545,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,14,HS(D)90537,PT9933,"RM 593,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,15,HS(D)90550,PT9963,"RM 719,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,16,HS(D)90549,PT9962,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,17,HS(D)90548,PT9961,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,18,HS(D)90547,PT9960,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,19,HS(D)90546,PT9959,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,20,HS(D)90545,PT9958,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,21,HS(D)90544,PT9957,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,22,HS(D)90543,PT9956,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,23,HS(D)90542,PT9955,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,24,HS(D)90541,PT9954,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,25,HS(D)90540,PT9953,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,26,HS(D)90539,PT9952,"RM 538,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,27,HS(D)90538,PT9951,"RM 591,000.00",-,Belum Dijual,Ya,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,28,HS(D)90562,PT9985,"RM 689,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,29,HS(D)90561,PT9984,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,30,HS(D)90560,PT9983,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,31,HS(D)90559,PT9982,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,32,HS(D)90558,PT9981,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,33,HS(D)90557,PT9980,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,34,HS(D)90556,PT9979,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,35,HS(D)90555,PT9978,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,36,HS(D)90554,PT9977,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,37,HS(D)90553,PT9976,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,38,HS(D)90552,PT9975,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,39,HS(D)90551,PT9974,"RM 596,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,40,HS(D)90573,PT10005,"RM 689,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,41,HS(D)90572,PT10004,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,42,HS(D)90571,PT10003,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,43,HS(D)90570,PT10002,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,44,HS(D)90569,PT10001,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,45,HS(D)90568,PT10000,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
30895-1,TAMAN CHENG SETIA,30895-1 TAMAN CHENG SETIA,46,HS(D)90567,PT9999,"RM 538,000.00",-,Belum Dijual,Tidak,2025-12-15,2025-12-15 04:25:00
